GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505	ISO8	2/20/2012	TP	0.5	A1	1	1	2
FF	505	ISO8	3/4/2012	TP	0.5	A1	1	1	388
FF	505	ISO8	3/6/2012	TP	0.5	A1	1	1	50
FF	505	ISO8	3/12/2012	TP	0.5	A1	1	1	54
FF	505	ISO8	3/24/2012	TP	0.5	A1	1	1	0
FF	505	ISO8	3/30/2012	TP	0.5	A1	1	1	25
FF	505	ISO8	1/5/2012	TP	5	A1	1	1	1
FF	505	ISO8	1/9/2012	TP	5	A1	1	1	0
FF	505	ISO8	1/19/2012	TP	5	A1	1	1	4
FF	505	ISO8	1/27/2012	TP	5	A1	1	1	0
FF	505	ISO8	1/30/2012	TP	5	A1	1	1	0
FF	505	ISO8	2/10/2012	TP	5	A1	1	1	0
FF	505	ISO8	2/16/2012	TP	5	A1	1	1	1
FF	505	ISO8	2/20/2012	TP	5	A1	1	1	0
FF	505	ISO8	3/4/2012	TP	5	A1	1	1	13
FF	505	ISO8	3/6/2012	TP	5	A1	1	1	4
FF	505	ISO8	3/12/2012	TP	5	A1	1	1	7
FF	505	ISO8	3/24/2012	TP	5	A1	1	1	0
FF	505	ISO8	3/30/2012	TP	5	A1	1	1	1
FF	505	ISO8	1/5/2012	TP	0.5	A1	1	2	7
FF	505	ISO8	1/9/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	1/19/2012	TP	0.5	A1	1	2	3
FF	505	ISO8	1/27/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	1/30/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	2/10/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	2/16/2012	TP	0.5	A1	1	2	1
FF	505	ISO8	2/20/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	3/4/2012	TP	0.5	A1	1	2	1
FF	505	ISO8	3/6/2012	TP	0.5	A1	1	2	2
FF	505	ISO8	3/12/2012	TP	0.5	A1	1	2	2
FF	505	ISO8	3/24/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	3/30/2012	TP	0.5	A1	1	2	0
FF	505	ISO8	1/5/2012	TP	5	A1	1	2	10
FF	505	ISO8	1/9/2012	TP	5	A1	1	2	0
FF	505	ISO8	1/19/2012	TP	5	A1	1	2	3
FF	505	ISO8	1/27/2012	TP	5	A1	1	2	0
FF	505	ISO8	1/30/2012	TP	5	A1	1	2	0
FF	505	ISO8	2/10/2012	TP	5	A1	1	2	0
FF	505	ISO8	2/16/2012	TP	5	A1	1	2	1
FF	505	ISO8	2/20/2012	TP	5	A1	1	2	0
FF	505	ISO8	3/4/2012	TP	5	A1	1	2	1
FF	505	ISO8	3/6/2012	TP	5	A1	1	2	2
FF	505	ISO8	3/12/2012	TP	5	A1	1	2	2
FF	505	ISO8	3/24/2012	TP	5	A1	1	2	0
FF	505	ISO8	3/30/2012	TP	5	A1	1	2	0
FF	505	ISO8	1/5/2012	TP	0.5	A1	1	3	0
FF	505	ISO8	1/9/2012	TP	0.5	A1	1	3	0
FF	505	ISO8	1/19/2012	TP	0.5	A1	1	3	34
FF	505	ISO8	1/27/2012	TP	0.5	A1	1	3	3
FF	505	ISO8	1/30/2012	TP	0.5	A1	1	3	0
FF	505	ISO8	2/10/2012	TP	0.5	A1	1	3	0
FF	505	ISO8	2/16/2012	TP	0.5	A1	1	3	10
FF	505	ISO8	2/20/2012	TP	0.5	A1	1	3	0
FF	505	ISO8	3/4/2012	TP	0.5	A1	1	3	11
FF	505	ISO8	3/6/2012	TP	0.5	A1	1	3	26
FF	505	ISO8	3/12/2012	TP	0.5	A1	1	3	68
FF	505	ISO8	3/24/2012	TP	0.5	A1	1	3	0
FF	505	ISO8	3/30/2012	TP	0.5	A1	1	3	247
FF	505	ISO8	1/5/2012	TP	5	A1	1	3	122
FF	505	ISO8	1/9/2012	TP	5	A1	1	3	0
FF	505	ISO8	1/19/2012	TP	5	A1	1	3	3
FF	505	ISO8	1/27/2012	TP	5	A1	1	3	0
FF	505	ISO8	1/30/2012	TP	5	A1	1	3	0
FF	505	ISO8	2/10/2012	TP	5	A1	1	3	0
FF	505	ISO8	2/16/2012	TP	5	A1	1	3	0
FF	505	ISO8	2/20/2012	TP	5	A1	1	3	0
FF	505	ISO8	3/4/2012	TP	5	A1	1	3	0
FF	505	ISO8	3/6/2012	TP	5	A1	1	3	1
FF	505	ISO8	3/12/2012	TP	5	A1	1	3	1
FF	505	ISO8	3/24/2012	TP	5	A1	1	3	0
